Date,Open,High,Low,Close,Adj Close,Volume
1962-04-03,0.000000,0.635882,0.619493,0.622771,0.094394,205934
1962-04-04,0.000000,0.627688,0.606382,0.608021,0.092158,320342
1962-04-05,0.000000,0.611299,0.589994,0.609660,0.092407,488141
1962-04-06,0.000000,0.606382,0.589994,0.589994,0.089426,175426
1962-04-09,0.000000,0.606382,0.589994,0.589994,0.089426,175426
1962-04-10,0.000000,0.596549,0.585077,0.589994,0.089426,228816
1962-04-11,0.000000,0.601466,0.586716,0.594910,0.090171,442378
1962-04-12,0.000000,0.594910,0.581799,0.589994,0.089426,266952
1962-04-13,0.000000,0.609660,0.589994,0.609660,0.092407,327970
1962-04-16,0.000000,0.609660,0.599827,0.601466,0.091165,282206
1962-04-17,0.000000,0.603105,0.599827,0.599827,0.090916,99154
1962-04-18,0.000000,0.616216,0.604744,0.608021,0.092158,152544
1962-04-19,0.000000,0.611299,0.603105,0.611299,0.092655,122035
1962-04-23,0.000000,0.626049,0.606382,0.626049,0.094891,358478
1962-04-24,0.000000,0.635882,0.622771,0.627688,0.095139,282206
1962-04-25,0.000000,0.622771,0.596549,0.599827,0.090916,274579
1962-04-26,0.000000,0.614577,0.603105,0.603105,0.091413,129662
1962-04-27,0.000000,0.612938,0.599827,0.603105,0.091413,198307
1962-04-30,0.000000,0.599827,0.586716,0.589994,0.089426,358478
1962-05-01,0.000000,0.598188,0.581799,0.598188,0.090668,244070
1962-05-02,0.000000,0.622771,0.601466,0.619493,0.093897,488141
1962-05-03,0.000000,0.622771,0.609660,0.622771,0.094394,228816
1962-05-04,0.000000,0.616216,0.608021,0.616216,0.093400,259325
1962-05-07,0.000000,0.617855,0.612938,0.612938,0.092903,343224
1962-05-08,0.000000,0.626049,0.614577,0.624410,0.094642,572040
1962-05-09,0.000000,0.622771,0.611299,0.616216,0.093400,419496
1962-05-10,0.000000,0.616216,0.606382,0.608021,0.092158,320342
1962-05-11,0.000000,0.612938,0.596549,0.596549,0.090419,335597
1962-05-14,0.000000,0.614577,0.586716,0.614577,0.094187,511022
1962-05-15,0.000000,0.629327,0.616216,0.619493,0.094940,480514
1962-05-16,0.000000,0.627688,0.619493,0.621132,0.095191,266952
1962-05-17,0.000000,0.627688,0.603105,0.617855,0.094689,411869
1962-05-18,0.000000,0.637521,0.617855,0.634243,0.097201,640685
1962-05-21,0.000000,0.639160,0.622771,0.629327,0.096447,228816
1962-05-22,0.000000,0.627688,0.612938,0.616216,0.094438,228816
1962-05-23,0.000000,0.616216,0.598188,0.599827,0.091926,396614
1962-05-24,0.000000,0.609660,0.598188,0.598188,0.091675,427123
1962-05-25,0.000000,0.609660,0.596549,0.603105,0.092429,480514
1962-05-28,0.000000,0.609660,0.517883,0.517883,0.079368,1212725
1962-05-29,0.000000,0.585077,0.512967,0.563772,0.086401,1426286
1962-05-31,0.000000,0.603105,0.586716,0.603105,0.092429,1533067
1962-06-01,0.000000,0.593271,0.567050,0.593271,0.090922,724584
1962-06-04,0.000000,0.593271,0.573605,0.576883,0.088410,564413
1962-06-05,0.000000,0.576883,0.557216,0.576883,0.088410,587294
1962-06-06,0.000000,0.593271,0.576883,0.576883,0.088410,617803
1962-06-07,0.000000,0.575244,0.567050,0.567050,0.086903,175426
1962-06-08,0.000000,0.571966,0.560494,0.565411,0.086652,213562
1962-06-11,0.000000,0.567050,0.544105,0.553939,0.084894,671194
1962-06-12,0.000000,0.552300,0.535911,0.535911,0.082131,587294
1962-06-13,0.000000,0.549022,0.534272,0.534272,0.081880,472886
1962-06-14,0.000000,0.549022,0.535911,0.537550,0.082382,480514
1962-06-15,0.000000,0.547383,0.524439,0.547383,0.083889,617803
1962-06-18,0.000000,0.563772,0.552300,0.557216,0.085396,320342
1962-06-19,0.000000,0.560494,0.545744,0.557216,0.085396,274579
1962-06-20,0.000000,0.563772,0.534272,0.534272,0.081880,251698
1962-06-21,0.000000,0.534272,0.519522,0.524439,0.080373,335597
1962-06-22,0.000000,0.535911,0.512967,0.512967,0.078615,434750
1962-06-25,0.000000,0.527717,0.501495,0.517883,0.079368,556786
1962-06-26,0.000000,0.544105,0.527717,0.527717,0.080875,343224
1962-06-27,0.000000,0.534272,0.522800,0.534272,0.081880,167798
1962-06-28,0.000000,0.557216,0.542466,0.557216,0.085396,533904
1962-06-29,0.000000,0.568688,0.560494,0.563772,0.086401,388987
1962-07-02,0.000000,0.568688,0.557216,0.565411,0.086652,221189
1962-07-03,0.000000,0.573605,0.562133,0.568688,0.087154,251698
1962-07-05,0.000000,0.570327,0.565411,0.568688,0.087154,144917
1962-07-06,0.000000,0.567050,0.550661,0.552300,0.084643,175426
1962-07-09,0.000000,0.558855,0.545744,0.557216,0.085396,106781
1962-07-10,0.000000,0.583438,0.565411,0.575244,0.088159,678821
1962-07-11,0.000000,0.583438,0.565411,0.583438,0.089415,251698
1962-07-12,0.000000,0.588355,0.573605,0.573605,0.087908,198307
1962-07-13,0.000000,0.578522,0.567050,0.573605,0.087908,244070
